"","regiao","estado","municipio","coduf","codmun","codRegiaoSaude","nomeRegiaoSaude","data","semanaEpi","populacaoTCU2019","casosAcumulado","casosNovos","obitosAcumulado","obitosNovos","Recuperadosnovos","emAcompanhamentoNovos","interior/metropolitana"
"1","Brasil",NA,NA,76,NA,NA,NA,2021-05-11,19,210147125,15282705,72715,425540,2311,13847191,1009974,NA
"2","Norte","RO",NA,11,NA,NA,NA,2021-05-11,19,1777225,218956,790,5389,24,NA,NA,NA
"3","Norte","AC",NA,12,NA,NA,NA,2021-05-11,19,881935,79510,34,1599,3,NA,NA,NA
"4","Norte","AM",NA,13,NA,NA,NA,2021-05-11,19,4144597,376298,695,12758,12,NA,NA,NA
"5","Norte","RR",NA,14,NA,NA,NA,2021-05-11,19,605761,98575,203,1549,3,NA,NA,NA
"6","Norte","PA",NA,15,NA,NA,NA,2021-05-11,19,8602865,486610,1647,13611,52,NA,NA,NA
"7","Norte","AP",NA,16,NA,NA,NA,2021-05-11,19,845731,108094,195,1595,4,NA,NA,NA
"8","Norte","TO",NA,17,NA,NA,NA,2021-05-11,19,1572866,165599,656,2666,7,NA,NA,NA
"9","Nordeste","MA",NA,21,NA,NA,NA,2021-05-11,19,7075181,274799,1141,7583,30,NA,NA,NA
"10","Nordeste","PI",NA,22,NA,NA,NA,2021-05-11,19,3273227,251648,920,5397,21,NA,NA,NA
"11","Nordeste","CE",NA,23,NA,NA,NA,2021-05-11,19,9132078,722420,5558,18598,60,NA,NA,NA
"12","Nordeste","RN",NA,24,NA,NA,NA,2021-05-11,19,3506853,235453,3601,5701,46,NA,NA,NA
"13","Nordeste","PB",NA,25,NA,NA,NA,2021-05-11,19,4018127,303633,932,7087,32,NA,NA,NA
"14","Nordeste","PE",NA,26,NA,NA,NA,2021-05-11,19,9557071,429187,2777,14639,89,NA,NA,NA
"15","Nordeste","AL",NA,27,NA,NA,NA,2021-05-11,19,3337357,180975,566,4413,16,NA,NA,NA
"16","Nordeste","SE",NA,28,NA,NA,NA,2021-05-11,19,2298696,213061,1193,4583,29,NA,NA,NA
"17","Nordeste","BA",NA,29,NA,NA,NA,2021-05-11,19,14873064,936275,4244,19411,91,NA,NA,NA
"18","Sudeste","MG",NA,31,NA,NA,NA,2021-05-11,19,21168791,1423717,6872,36122,60,NA,NA,NA
"19","Sudeste","ES",NA,32,NA,NA,NA,2021-05-11,19,4018650,451247,1831,10009,56,NA,NA,NA
"20","Sudeste","RJ",NA,33,NA,NA,NA,2021-05-11,19,17264943,792073,5316,46770,328,NA,NA,NA
"21","Sudeste","SP",NA,35,NA,NA,NA,2021-05-11,19,45919049,3022568,16318,101660,806,NA,NA,NA
"22","Sul","PR",NA,41,NA,NA,NA,2021-05-11,19,11433957,992600,3183,23993,68,NA,NA,NA
"23","Sul","SC",NA,42,NA,NA,NA,2021-05-11,19,7164788,914946,2999,14185,90,NA,NA,NA
"24","Sul","RS",NA,43,NA,NA,NA,2021-05-11,19,11377239,1013486,5190,26176,186,NA,NA,NA
"25","Centro-Oeste","MS",NA,50,NA,NA,NA,2021-05-11,19,2778986,258662,1293,6069,25,NA,NA,NA
"26","Centro-Oeste","MT",NA,51,NA,NA,NA,2021-05-11,19,3484466,374036,1765,10078,30,NA,NA,NA
